audio_path,emotion_id,pn,round,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rmse,pitch,mean_pressure,max_pressure,pressure_variance,center_of_pressure_x,center_of_pressure_y,pressure_gradient,median_force,iqr_force,touch_duration,contact_area,min_force,rate_of_pressure_change,pressure_std,num_touches,max_touch_duration,min_touch_duration,mean_duration,arousal_class,valence_class,quadrant
D:/Data_collection_results\1\wav_clip\_Anger_Round_1.wav,0,1,1,-476.8758850097656,77.39456176757812,26.434558868408203,15.011929512023926,7.369692325592041,13.939441680908203,18.152931213378906,17.01326560974121,-8.301663398742676,9.13117790222168,3.9431588649749756,11.62013053894043,-3.7063591480255127,6233.473915236437,6252.511411897625,0.083505156975058,0.011289034970104694,4.975933074951172,0.09102222222222223,100.46511627906978,44.799582425094655,272.09690085542,10.114990884868883,2.0262371491933937,0.0,0.0,450.0,1024.0,0.0,1.5140622572124103,6.693249018607828,30.0,13.0,1.0,3.9,1,-1,2
D:/Data_collection_results\1\wav_clip\_Anger_Round_2.wav,0,1,2,-521.9216918945312,74.1662368774414,22.164461135864258,16.181541442871094,8.153033256530762,15.218838691711426,15.293489456176758,14.322354316711426,-2.670625925064087,8.452245712280273,3.1277287006378174,10.583751678466797,-0.44603726267814636,6212.7655890824735,6339.052418828769,0.08443470399506961,0.006112135015428066,4.637526035308838,0.07253333333333334,120.0,58.20084956817499,338.526792037139,16.949878039184828,1.5571872124722264,0.0,0.0,450.0,816.0,0.0,0.6889107577562542,7.628948129865282,18.0,24.0,1.0,5.444444444444445,1,-1,2
D:/Data_collection_results\1\wav_clip\_Anger_Round_3.wav,0,1,3,-494.12579345703125,77.08294677734375,20.435810089111328,11.57210922241211,6.976468563079834,14.978912353515625,18.947431564331055,15.794977188110352,-7.1074299812316895,6.819616794586182,5.938126564025879,10.187663078308105,-1.4292497634887695,6100.94813032984,6139.5649749361255,0.10149962387616009,0.012295052409172058,7.740336894989014,0.16746666666666668,76.74418604651163,51.29136387861307,286.3550087873462,12.323460071156074,1.8944221690136749,0.0,0.0,450.0,1884.0,0.0,1.0653130988760553,7.16179892754698,18.0,26.0,1.0,8.38888888888889,1,-1,2
D:/Data_collection_results\1\wav_clip\_Attention_Round_1.wav,1,1,1,-554.1615600585938,59.96158981323242,20.222003936767578,16.860591888427734,10.229839324951172,15.752386093139648,14.603975296020508,14.672484397888184,0.24257679283618927,8.377849578857422,0.5767322778701782,8.987606048583984,0.08013427257537842,7240.511294338392,6473.040849453536,0.14177206442140372,0.0020518689416348934,7.730329513549805,0.04017777777777778,54.41860465116279,9.583435395469024,193.8712812376041,12.83617612058707,0.5925338158206822,0.0,0.0,450.0,452.0,0.0,0.39181643963329366,3.0957124213125846,12.0,6.0,1.0,4.833333333333333,0,0,0
D:/Data_collection_results\1\wav_clip\_Attention_Round_2.wav,1,1,2,-564.0289306640625,57.416114807128906,19.991472244262695,18.294105529785156,9.804159164428711,15.089383125305176,14.148183822631836,14.273503303527832,2.067869186401367,8.704000473022461,0.8527135848999023,9.278284072875977,1.8394380807876587,7233.540626840523,6513.181594332138,0.13787147893706497,0.0012090507661923766,6.455784797668457,0.03902222222222222,61.395348837209305,8.283044143981732,232.8121449559256,7.4317335945151815,0.6171139406034375,0.0,0.0,450.0,439.0,0.0,0.3159890195265966,2.8780278219610267,12.0,10.0,5.0,7.083333333333333,0,0,0
D:/Data_collection_results\1\wav_clip\_Attention_Round_3.wav,1,1,3,-563.9442138671875,62.9106330871582,20.792221069335938,15.760499954223633,8.395075798034668,16.40579605102539,15.189455032348633,16.231321334838867,3.699955463409424,8.178084373474121,0.6628550291061401,9.42416763305664,1.975354552268982,6994.845129284478,6503.585581716864,0.13119867948810904,0.0011059589451178908,6.924660682678223,0.09955555555555555,82.32558139534883,43.02443691989665,243.96667586587552,12.103905064164481,1.6805959660629401,0.0,0.0,450.0,1120.0,0.0,0.45036515253534987,6.55930155732275,15.0,26.0,1.0,11.266666666666667,0,0,0
D:/Data_collection_results\1\wav_clip\_Calmimg_Round_1.wav,2,1,1,-567.3496704101562,64.62096405029297,19.54790687561035,17.067426681518555,8.109878540039062,14.816959381103516,13.065184593200684,13.987510681152344,4.604690074920654,8.821859359741211,2.415179491043091,10.102790832519531,2.839120864868164,6767.122266736613,6534.508718881028,0.12114869580191415,0.0009747565491124988,5.373210906982422,0.8007111111111112,72.55813953488372,412.7047415554355,276.09094543114236,10.47018520073073,5.960354564689304,34.88372093023256,33.48837209302326,450.0,9008.0,0.0,0.4131972859584607,20.31513577496925,1.0,382.0,382.0,382.0,-1,1,4
D:/Data_collection_results\1\wav_clip\_Calmimg_Round_2.wav,2,1,2,-567.89453125,60.59208679199219,17.257055282592773,14.7930326461792,6.861441612243652,13.983319282531738,12.866722106933594,14.811403274536133,3.240138053894043,6.045685291290283,0.1004895344376564,7.773308277130127,1.6007413864135742,7169.001862912299,6531.273982493922,0.15949859973172853,0.0008543635485693812,13.245298385620117,0.6343111111111112,65.5813953488372,342.55753860945856,252.63079026872316,10.068551439020514,6.112358893099629,19.534883720930235,33.48837209302326,450.0,7136.0,0.0,0.47559952348889006,18.50830998793403,1.0,318.0,318.0,318.0,-1,1,4
D:/Data_collection_results\1\wav_clip\_Calmimg_Round_3.wav,2,1,3,-562.8203125,68.49385070800781,17.684236526489258,12.179547309875488,4.639167308807373,15.646299362182617,16.65047836303711,16.525110244750977,4.7175374031066895,7.2820305824279785,1.359298586845398,9.682517051696777,3.01188063621521,6583.928339672862,6501.578496873597,0.11999823267111369,0.0009988034144043922,8.043107032775879,0.5352888888888889,39.06976744186047,79.75293067868519,277.64148682873565,10.031074174615933,3.671831821991288,5.5813953488372094,13.953488372093023,450.0,6022.0,0.0,0.4588180452685554,8.930449634743214,1.0,378.0,378.0,378.0,-1,1,4
D:/Data_collection_results\1\wav_clip\_Comfort_Round_1.wav,3,1,1,-562.1258544921875,59.14497375488281,20.643606185913086,20.2064151763916,10.833525657653809,15.094695091247559,12.959824562072754,14.622928619384766,2.4942851066589355,9.648539543151855,2.861870050430298,9.800951957702637,1.0067977905273438,7006.228278002362,6511.017945315676,0.13244147422418792,0.0014538177056238055,6.3113861083984375,0.07822222222222222,25.116279069767444,7.329677068445407,294.04076657981005,10.996805917458184,0.813287290719165,0.0,1.3953488372093024,450.0,880.0,0.0,0.3908219816646813,2.707337634733689,16.0,40.0,1.0,10.0625,-1,1,4
D:/Data_collection_results\1\wav_clip\_Comfort_Round_2.wav,3,1,2,-569.4043579101562,58.25761032104492,18.596872329711914,18.085247039794922,9.486204147338867,14.880931854248047,12.558216094970703,13.762755393981934,3.060804605484009,8.088911056518555,1.407504916191101,8.87468147277832,2.1707892417907715,7137.297383906804,6515.49396609684,0.14932569605568446,0.00098982616327703,8.365022659301758,0.22097777777777777,37.674418604651166,33.34792514872905,307.4157976052529,10.783236770954037,1.9161897777048011,0.0,4.186046511627907,450.0,2486.0,0.0,0.45421867716372305,5.774766241912225,4.0,73.0,51.0,63.0,-1,1,4
D:/Data_collection_results\1\wav_clip\_Comfort_Round_3.wav,3,1,3,-562.568115234375,62.45353317260742,17.91271209716797,13.29263687133789,5.790211200714111,14.990517616271973,14.93422794342041,16.143577575683594,3.0413107872009277,7.761359691619873,0.3427116572856903,8.686756134033203,1.3991810083389282,7050.5778187242,6491.474994002641,0.14906512833526683,0.001132484874688089,11.218363761901855,0.3600888888888889,36.27906976744186,51.38417022438556,266.22575037947416,12.796552906037313,2.396359475500386,1.3953488372093024,8.372093023255815,450.0,4051.0,0.0,0.6511213549489823,7.168275261482748,5.0,70.0,26.0,54.0,-1,1,4
D:/Data_collection_results\1\wav_clip\_Confusion_Round_1.wav,4,1,1,-570.3466796875,64.20655822753906,18.131267547607422,15.309137344360352,7.228551864624023,15.551484107971191,14.146961212158203,14.313926696777344,4.506119728088379,7.026027679443359,0.9926130175590515,8.498958587646484,2.7157907485961914,6892.949229815716,6542.763141042557,0.13896019884715777,0.0008113521034829319,9.634395599365234,0.1902222222222222,79.53488372093022,79.63971748236284,268.9431109886704,12.918247873549365,2.7903649096565264,0.0,2.7906976744186047,450.0,2140.0,0.0,0.46764385973999073,8.92410877804405,4.0,174.0,1.0,85.25,-1,-1,3
D:/Data_collection_results\1\wav_clip\_Confusion_Round_2.wav,4,1,2,-570.7216186523438,62.549068450927734,17.868162155151367,15.20430850982666,7.392268657684326,15.501189231872559,14.224909782409668,14.475259780883789,4.606825351715088,7.2693257331848145,0.6703939437866211,8.798049926757812,2.68308424949646,6941.626522765698,6554.405143795919,0.13115789497534802,0.000849682604894042,7.591001510620117,0.07946666666666667,60.0,24.054307720930233,228.7273938701694,12.66457262516657,1.1984606494778285,0.0,0.0,450.0,894.0,0.0,0.3225773035686539,4.904519112097559,10.0,82.0,1.0,24.2,-1,-1,3
D:/Data_collection_results\1\wav_clip\_Confusion_Round_3.wav,4,1,3,-571.6183471679688,62.36796188354492,16.809627532958984,14.570137977600098,6.908016204833984,15.164840698242188,14.139039039611816,14.458952903747559,4.4384307861328125,6.571175575256348,0.42904555797576904,8.299180030822754,2.3349409103393555,6988.130815089454,6539.585508108178,0.1475464716864849,0.0007801439496688545,11.192800521850586,0.05706666666666667,55.81395348837209,11.678915434408992,265.95186640471513,11.6372438955936,0.8617372963641403,0.0,0.0,450.0,642.0,0.0,0.20535557051846481,3.417442820942143,9.0,84.0,1.0,23.666666666666668,-1,-1,3
D:/Data_collection_results\1\wav_clip\_Disgust_Round_1.wav,5,1,1,-565.1329956054688,60.97327423095703,18.5264949798584,17.105432510375977,9.847891807556152,14.413379669189453,12.26137638092041,13.247623443603516,0.7715765833854675,8.433670997619629,0.8907612562179565,9.481693267822266,-0.6996703743934631,7129.143016893167,6537.696213380308,0.1551057678364269,0.0008819513022899628,9.700950622558594,0.10666666666666667,90.69767441860465,52.982050890210935,272.6867395466617,11.306281267370762,2.0526754279143278,0.0,0.0,450.0,1200.0,0.0,0.9763091106852437,7.278877034969813,11.0,106.0,1.0,25.545454545454547,1,-1,2
D:/Data_collection_results\1\wav_clip\_Disgust_Round_2.wav,5,1,2,-572.731201171875,60.503631591796875,20.476770401000977,20.83468246459961,12.529627799987793,16.60918426513672,13.01531982421875,13.593008041381836,5.144356727600098,9.784907341003418,1.883970856666565,9.482772827148438,1.4906917810440063,6875.105746540989,6566.364281541517,0.12155540802639211,0.0009959415765479207,4.1514410972595215,0.08497777777777778,89.30232558139535,45.80971661222283,274.3046448087432,13.804189435336978,1.815221318050596,0.0,0.0,450.0,956.0,0.0,0.6160667115553944,6.768287568670736,11.0,47.0,3.0,27.636363636363637,1,-1,2
D:/Data_collection_results\1\wav_clip\_Disgust_Round_3.wav,5,1,3,-567.5050048828125,60.682464599609375,16.305723190307617,13.037093162536621,6.60908317565918,14.367361068725586,14.141995429992676,14.84379768371582,2.1240499019622803,6.7605438232421875,0.16396093368530273,9.509251594543457,1.0258362293243408,7256.363272507171,6545.312642731901,0.16807354353973317,0.0007559866062365472,13.736616134643555,0.11493333333333333,104.65116279069767,85.46026515137311,267.0123312696641,14.359433675022835,2.6694525959736803,0.0,0.0,450.0,1293.0,0.0,1.104594188636246,9.24447214022375,16.0,68.0,1.0,20.6875,1,-1,2
D:/Data_collection_results\1\wav_clip\_Fear_Round_1.wav,6,1,1,-564.5491333007812,59.77080154418945,19.713987350463867,18.026147842407227,9.700573921203613,14.82645034790039,12.040061950683594,13.786160469055176,1.9440068006515503,8.252153396606445,1.4469949007034302,9.162656784057617,0.1227421760559082,7161.369818529592,6488.320870265525,0.14939480314675174,0.0010386272333562374,11.880762100219727,0.04808888888888889,57.2093023255814,11.392108070428462,252.86491969568885,8.706677937447168,0.7338477285645492,0.0,0.0,450.0,541.0,0.0,0.31623763401874966,3.375219706986267,14.0,10.0,2.0,7.0,1,-1,2
D:/Data_collection_results\1\wav_clip\_Fear_Round_2.wav,6,1,2,-571.718505859375,60.295711517333984,20.253198623657227,19.822473526000977,11.010307312011719,15.485602378845215,12.299447059631348,13.545924186706543,5.004951000213623,9.361068725585938,2.394299268722534,9.781015396118164,2.320072650909424,6900.27200319462,6538.841395793954,0.12458705680829467,0.0010183056583628058,4.596512317657471,0.07715555555555556,62.79069767441861,20.91310320293252,210.99426910299007,11.280398671096346,1.1798079720532983,0.0,1.3953488372093024,450.0,868.0,0.0,0.2593049153156886,4.573084648564087,5.0,47.0,11.0,30.4,1,-1,2
D:/Data_collection_results\1\wav_clip\_Fear_Round_3.wav,6,1,3,-567.4214477539062,62.11000061035156,18.844280242919922,15.974088668823242,7.86763858795166,15.549310684204102,14.588812828063965,14.720306396484375,3.8582189083099365,7.467504501342773,0.8418729305267334,8.878491401672363,1.8131545782089233,7032.599246820508,6523.617031422686,0.13482736822070765,0.000944286584854126,8.542415618896484,0.0648,54.41860465116279,14.588060175229854,201.59377372817008,12.5863072639838,0.8342413619400073,0.0,0.0,450.0,729.0,0.0,0.1757704459522453,3.819431917868134,6.0,32.0,17.0,22.666666666666668,1,-1,2
D:/Data_collection_results\1\wav_clip\_Happiness_Round_1.wav,7,1,1,-544.7174682617188,60.35850143432617,23.64032745361328,19.300559997558594,11.23046875,15.860605239868164,15.196102142333984,15.244397163391113,-1.7907243967056274,9.69328498840332,0.44725653529167175,9.56273365020752,-1.2944341897964478,7179.215701933109,6468.087288522947,0.13987661112209915,0.0021737960632890463,7.435080051422119,0.07555555555555556,55.81395348837209,15.247506283516618,278.25209649031996,10.49466818511233,1.2412160306501567,0.0,0.0,450.0,850.0,0.0,0.7163826591391724,3.9048055372216193,28.0,11.0,1.0,4.535714285714286,1,1,1
